#,Date,Year,Time,Home Team,Away Team,Venue,Winner
1,07 APR SAT,2018,8 PM,MUMBAI INDIANS,CHENNAI SUPER KINGS,MUMBAI,
2,08 APR SUN,2018,4 PM,DELHI DAREDEVILS,KINGS XI PUNJAB,DELHI,
3,08 APR SUN,2018,8 PM,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,KOLKATA,
4,09 APR MON,2018,8 PM,SUNRISERS HYDERABAD,RAJASTHAN ROYALS,HYDERABAD,
5,10 APR TUE,2018,8 PM,CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,CHENNAI,
6,11 APR WED,2018,8 PM,RAJASTHAN ROYALS,DELHI DAREDEVILS,JAIPUR,
7,12 APR THU,2018,8 PM,SUNRISERS HYDERABAD,MUMBAI INDIANS,HYDERABAD,
8,13 APR FRI,2018,8 PM,ROYAL CHALLENGERS BANGALORE,KINGS XI PUNJAB,BENGALURU,
9,14 APR SAT,2018,4 PM,MUMBAI INDIANS,DELHI DAREDEVILS,MUMBAI,
10,14 APR SAT,2018,8 PM,KOLKATA KNIGHT RIDERS,SUNRISERS HYDERABAD,KOLKATA,
11,15 APR SUN,2018,4 PM,ROYAL CHALLENGERS BANGALORE,RAJASTHAN ROYALS,BENGALURU,
12,15 APR SUN,2018,8 PM,KINGS XI PUNJAB,CHENNAI SUPER KINGS,INDORE,
13,16 APR MON,2018,8 PM,KOLKATA KNIGHT RIDERS,DELHI DAREDEVILS,KOLKATA,
14,17 APR TUE,2018,8 PM,MUMBAI INDIANS,ROYAL CHALLENGERS BANGALORE,MUMBAI,
15,18 APR WED,2018,8 PM,RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS,JAIPUR,
16,19 APR THU,2018,8 PM,KINGS XI PUNJAB,SUNRISERS HYDERABAD,INDORE,
17,20 APR FRI,2018,8 PM,CHENNAI SUPER KINGS,RAJASTHAN ROYALS,CHENNAI,
18,21 APR SAT,2018,4 PM,KOLKATA KNIGHT RIDERS,KINGS XI PUNJAB,KOLKATA,
19,21 APR SAT,2018,8 PM,DELHI DAREDEVILS,ROYAL CHALLENGERS BANGALORE,DELHI,
20,22 APR SUN,2018,4 PM,SUNRISERS HYDERABAD,CHENNAI SUPER KINGS,HYDERABAD,
21,22 APR SUN,2018,8 PM,RAJASTHAN ROYALS,MUMBAI INDIANS,JAIPUR,
22,23 APR MON,2018,8 PM,KINGS XI PUNJAB,DELHI DAREDEVILS,INDORE,
23,24 APR TUE,2018,8 PM,MUMBAI INDIANS,SUNRISERS HYDERABAD,MUMBAI,
24,25 APR WED,2018,8 PM,ROYAL CHALLENGERS BANGALORE,KINGS XI PUNJAB,BENGALURU,
25,26 APR THU,2018,8 PM,SUNRISERS HYDERABAD,KOLKATA KNIGHT RIDERS,HYDERABAD,
26,27 APR FRI,2018,8 PM,DELHI DAREDEVILS,CHENNAI SUPER KINGS,DELHI,
27,28 APR SAT,2018,8 PM,CHENNAI SUPER KINGS,MUMBAI INDIANS,CHENNAI,
28,29 APR SUN,2018,4 PM,RAJASTHAN ROYALS,SUNRISERS HYDERABAD,JAIPUR,
29,29 APR SUN,2018,8 PM,ROYAL CHALLENGERS BANGALORE,DELHI DAREDEVILS,BENGALURU,
30,30 APR MON,2018,8 PM,CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,CHENNAI,
31,01 MAY TUE,2018,8 PM,ROYAL CHALLENGERS BANGALORE,MUMBAI INDIANS,BENGALURU,
Winner of season: CHENNAI SUPER KINGS
2018
